world,generation,population,genetic_diversity,avg_energy
baseline,0,200,0.302968,0.0
baseline,1,200,0.305418,0.0
baseline,2,200,0.298558,0.0
baseline,3,200,0.28035,0.0
baseline,4,200,0.268895,0.0
baseline,5,200,0.266724,0.0
baseline,6,200,0.267081,0.0
baseline,7,200,0.258152,0.0
baseline,8,200,0.247388,0.0
baseline,9,200,0.240781,0.0
baseline,10,200,0.242932,0.0
baseline,11,200,0.236732,0.0
baseline,12,200,0.231714,0.0
baseline,13,200,0.221291,0.0
baseline,14,200,0.229313,0.0
baseline,15,200,0.229484,0.0
baseline,16,200,0.232645,0.0
baseline,17,200,0.237677,0.0
baseline,18,200,0.230603,0.0
baseline,19,200,0.237299,0.0
baseline,20,200,0.226825,0.0
baseline,21,200,0.224466,0.0
baseline,22,200,0.22972,0.0
baseline,23,200,0.221435,0.0
baseline,24,200,0.216023,0.0
baseline,25,200,0.219407,0.0
baseline,26,200,0.216796,0.0
baseline,27,200,0.212849,0.0
baseline,28,200,0.21008,0.0
baseline,29,200,0.206573,0.0
baseline,30,200,0.198491,0.0
baseline,31,200,0.186439,0.0
baseline,32,200,0.18028,0.0
baseline,33,200,0.182841,0.0
baseline,34,200,0.179422,0.0
baseline,35,200,0.184135,0.0
baseline,36,200,0.183909,0.0
baseline,37,200,0.167382,0.0
baseline,38,200,0.164008,0.0
baseline,39,200,0.167671,0.0
baseline,40,200,0.16162,0.0
baseline,41,200,0.165475,0.0
baseline,42,200,0.161104,0.0
baseline,43,200,0.152366,0.0
baseline,44,200,0.157129,0.0
baseline,45,200,0.150499,0.0
baseline,46,200,0.152645,0.0
baseline,47,200,0.148199,0.0
baseline,48,200,0.140071,0.0
baseline,49,200,0.144896,0.0
baseline,50,200,0.150366,0.0
baseline,51,200,0.14617,0.0
baseline,52,200,0.156975,0.0
baseline,53,200,0.147271,0.0
baseline,54,200,0.145595,0.0
baseline,55,200,0.135753,0.0
baseline,56,200,0.132431,0.0
baseline,57,200,0.132196,0.0
baseline,58,200,0.124078,0.0
baseline,59,200,0.121219,0.0
baseline,60,200,0.120192,0.0
baseline,61,200,0.111896,0.0
baseline,62,200,0.114373,0.0
baseline,63,200,0.125173,0.0
baseline,64,200,0.13999,0.0
baseline,65,200,0.14054,0.0
baseline,66,200,0.136651,0.0
baseline,67,200,0.13079,0.0
baseline,68,200,0.128978,0.0
baseline,69,200,0.12716,0.0
baseline,70,200,0.129679,0.0
baseline,71,200,0.126928,0.0
baseline,72,200,0.124433,0.0
baseline,73,200,0.118027,0.0
baseline,74,200,0.11858,0.0
baseline,75,200,0.121672,0.0
baseline,76,200,0.118081,0.0
baseline,77,200,0.120866,0.0
baseline,78,200,0.11883,0.0
baseline,79,200,0.124349,0.0
baseline,80,200,0.129264,0.0
baseline,81,200,0.12589,0.0
baseline,82,200,0.130371,0.0
baseline,83,200,0.129956,0.0
baseline,84,200,0.131052,0.0
baseline,85,200,0.12931,0.0
baseline,86,200,0.128179,0.0
baseline,87,200,0.123279,0.0
baseline,88,200,0.1291,0.0
baseline,89,200,0.122768,0.0
baseline,90,200,0.124333,0.0
baseline,91,200,0.127325,0.0
baseline,92,200,0.126082,0.0
baseline,93,200,0.123394,0.0
baseline,94,200,0.122699,0.0
baseline,95,200,0.117499,0.0
baseline,96,200,0.114585,0.0
baseline,97,200,0.1205,0.0
baseline,98,200,0.12069,0.0
baseline,99,200,0.118275,0.0
baseline,100,200,0.116897,0.0
baseline,101,200,0.112333,0.0
baseline,102,200,0.109028,0.0
baseline,103,200,0.106569,0.0
baseline,104,200,0.102907,0.0
baseline,105,200,0.103092,0.0
baseline,106,200,0.096268,0.0
baseline,107,200,0.102146,0.0
baseline,108,200,0.094901,0.0
baseline,109,200,0.091141,0.0
baseline,110,200,0.071849,0.0
baseline,111,200,0.062933,0.0
baseline,112,200,0.06511,0.0
baseline,113,200,0.052231,0.0
baseline,114,200,0.047765,0.0
