world,generation,population,genetic_diversity,avg_energy
math_language,0,200,0.286086,0.0
math_language,1,200,0.295582,0.0
math_language,2,200,0.290594,0.0
math_language,3,200,0.285651,0.0
math_language,4,200,0.281646,0.0
math_language,5,200,0.272559,0.0
math_language,6,200,0.265578,0.0
math_language,7,200,0.260695,0.0
math_language,8,200,0.257087,0.0
math_language,9,200,0.256332,0.0
math_language,10,200,0.259543,0.0
math_language,11,200,0.256178,0.0
math_language,12,200,0.255717,0.0
math_language,13,200,0.257018,0.0
math_language,14,200,0.250824,0.0
math_language,15,200,0.244196,0.0
math_language,16,200,0.238549,0.0
math_language,17,200,0.236787,0.0
math_language,18,200,0.230438,0.0
math_language,19,200,0.23246,0.0
math_language,20,200,0.232527,0.0
math_language,21,200,0.237677,0.0
math_language,22,200,0.221619,0.0
math_language,23,200,0.207692,0.0
math_language,24,200,0.211618,0.0
math_language,25,200,0.216375,0.0
math_language,26,200,0.212288,0.0
math_language,27,200,0.200622,0.0
math_language,28,200,0.194234,0.0
math_language,29,200,0.198411,0.0
math_language,30,200,0.203136,0.0
math_language,31,200,0.189704,0.0
math_language,32,200,0.188788,0.0
math_language,33,200,0.189098,0.0
math_language,34,200,0.186377,0.0
math_language,35,200,0.193839,0.0
math_language,36,200,0.199669,0.0
math_language,37,200,0.207389,0.0
math_language,38,200,0.20634,0.0
math_language,39,200,0.203516,0.0
math_language,40,200,0.20444,0.0
math_language,41,200,0.213965,0.0
math_language,42,200,0.216828,0.0
math_language,43,200,0.211501,0.0
math_language,44,200,0.212565,0.0
math_language,45,200,0.213855,0.0
math_language,46,200,0.215046,0.0
math_language,47,200,0.212402,0.0
math_language,48,200,0.208876,0.0
math_language,49,200,0.201596,0.0
math_language,50,200,0.200625,0.0
math_language,51,200,0.193557,0.0
math_language,52,200,0.184997,0.0
math_language,53,200,0.188004,0.0
math_language,54,200,0.185236,0.0
math_language,55,200,0.175709,0.0
math_language,56,200,0.17608,0.0
math_language,57,200,0.172545,0.0
math_language,58,200,0.164213,0.0
math_language,59,200,0.162069,0.0
math_language,60,200,0.153301,0.0
math_language,61,200,0.153323,0.0
math_language,62,200,0.158776,0.0
math_language,63,200,0.138463,0.0
math_language,64,200,0.129495,0.0
math_language,65,200,0.127239,0.0
math_language,66,200,0.118884,0.0
math_language,67,200,0.106406,0.0
math_language,68,200,0.107055,0.0
math_language,69,200,0.098297,0.0
math_language,70,200,0.099619,0.0
math_language,71,200,0.094291,0.0
math_language,72,200,0.088489,0.0
math_language,73,200,0.084856,0.0
math_language,74,200,0.08387,0.0
math_language,75,200,0.079925,0.0
math_language,76,200,0.073267,0.0
math_language,77,200,0.068239,0.0
math_language,78,200,0.070374,0.0
math_language,79,200,0.067716,0.0
math_language,80,200,0.066516,0.0
math_language,81,200,0.065344,0.0
math_language,82,200,0.064648,0.0
math_language,83,200,0.065584,0.0
math_language,84,200,0.065432,0.0
math_language,85,200,0.061329,0.0
math_language,86,200,0.064351,0.0
math_language,87,200,0.065033,0.0
math_language,88,200,0.065252,0.0
math_language,89,200,0.065616,0.0
math_language,90,200,0.060942,0.0
math_language,91,200,0.059175,0.0
math_language,92,200,0.057776,0.0
math_language,93,200,0.055342,0.0
math_language,94,200,0.055905,0.0
math_language,95,200,0.054048,0.0
math_language,96,200,0.054208,0.0
math_language,97,200,0.055088,0.0
math_language,98,200,0.056201,0.0
math_language,99,200,0.055931,0.0
math_language,100,200,0.055432,0.0
math_language,101,200,0.053767,0.0
math_language,102,200,0.055306,0.0
math_language,103,200,0.056742,0.0
math_language,104,200,0.054388,0.0
math_language,105,200,0.053807,0.0
math_language,106,200,0.054225,0.0
math_language,107,200,0.05682,0.0
math_language,108,200,0.05618,0.0
math_language,109,200,0.056537,0.0
math_language,110,200,0.057375,0.0
math_language,111,200,0.057239,0.0
math_language,112,200,0.056392,0.0
math_language,113,200,0.054934,0.0
math_language,114,200,0.057926,0.0
math_language,115,200,0.058064,0.0
math_language,116,200,0.058432,0.0
math_language,117,200,0.058105,0.0
math_language,118,200,0.057613,0.0
math_language,119,200,0.057708,0.0
math_language,120,200,0.058895,0.0
math_language,121,200,0.05808,0.0
math_language,122,200,0.056742,0.0
math_language,123,200,0.056973,0.0
math_language,124,200,0.055937,0.0
math_language,125,200,0.055795,0.0
math_language,126,200,0.056514,0.0
math_language,127,200,0.055318,0.0
math_language,128,200,0.056243,0.0
math_language,129,200,0.055965,0.0
math_language,130,200,0.057364,0.0
math_language,131,200,0.057762,0.0
math_language,132,200,0.057497,0.0
math_language,133,200,0.057958,0.0
math_language,134,200,0.060784,0.0
math_language,135,200,0.059844,0.0
math_language,136,200,0.05881,0.0
math_language,137,200,0.056453,0.0
math_language,138,200,0.057578,0.0
math_language,139,200,0.058385,0.0
math_language,140,200,0.059399,0.0
math_language,141,200,0.056416,0.0
math_language,142,200,0.056544,0.0
math_language,143,200,0.056661,0.0
math_language,144,200,0.059073,0.0
math_language,145,200,0.057515,0.0
math_language,146,200,0.057454,0.0
math_language,147,200,0.058655,0.0
math_language,148,200,0.057597,0.0
math_language,149,200,0.060016,0.0
math_language,150,200,0.062374,0.0
math_language,151,200,0.063327,0.0
math_language,152,200,0.065149,0.0
math_language,153,200,0.066101,0.0
math_language,154,200,0.064824,0.0
math_language,155,200,0.064922,0.0
math_language,156,200,0.062434,0.0
math_language,157,200,0.064241,0.0
math_language,158,200,0.06376,0.0
math_language,159,200,0.064274,0.0
math_language,160,200,0.062721,0.0
math_language,161,200,0.061769,0.0
math_language,162,200,0.059179,0.0
math_language,163,200,0.058397,0.0
math_language,164,200,0.057871,0.0
math_language,165,200,0.058636,0.0
math_language,166,200,0.059808,0.0
math_language,167,200,0.062364,0.0
math_language,168,200,0.064164,0.0
math_language,169,200,0.063041,0.0
math_language,170,200,0.062868,0.0
math_language,171,200,0.058718,0.0
math_language,172,200,0.059457,0.0
math_language,173,200,0.057778,0.0
math_language,174,200,0.055769,0.0
math_language,175,200,0.052799,0.0
math_language,176,200,0.048976,0.0
math_language,177,200,0.051677,0.0
math_language,178,200,0.051872,0.0
math_language,179,200,0.054813,0.0
math_language,180,200,0.05364,0.0
math_language,181,200,0.053641,0.0
math_language,182,200,0.053892,0.0
math_language,183,200,0.047366,0.0
math_language,184,200,0.048846,0.0
math_language,185,200,0.051751,0.0
math_language,186,200,0.047556,0.0
math_language,187,200,0.043945,0.0
math_language,188,200,0.037622,0.0
math_language,189,200,0.040443,0.0
math_language,190,200,0.039534,0.0
math_language,191,200,0.037715,0.0
math_language,192,200,0.034322,0.0
math_language,193,200,0.030771,0.0
math_language,194,200,0.033206,0.0
math_language,195,200,0.032613,0.0
math_language,196,200,0.035635,0.0
math_language,197,200,0.030742,0.0
math_language,198,200,0.030463,0.0
math_language,199,200,0.031162,0.0
math_language,200,200,0.03256,0.0
