world,generation,population,genetic_diversity,avg_energy
spiritual_communal,0,200,0.287891,0.0
spiritual_communal,1,200,0.268509,0.0
spiritual_communal,2,200,0.263576,0.0
spiritual_communal,3,200,0.255979,0.0
spiritual_communal,4,200,0.246098,0.0
spiritual_communal,5,200,0.237923,0.0
spiritual_communal,6,200,0.237874,0.0
spiritual_communal,7,200,0.232412,0.0
spiritual_communal,8,200,0.233848,0.0
spiritual_communal,9,200,0.219742,0.0
spiritual_communal,10,200,0.219298,0.0
spiritual_communal,11,200,0.220186,0.0
spiritual_communal,12,200,0.225163,0.0
spiritual_communal,13,200,0.222393,0.0
spiritual_communal,14,200,0.220393,0.0
spiritual_communal,15,200,0.218246,0.0
spiritual_communal,16,200,0.21793,0.0
spiritual_communal,17,200,0.216366,0.0
spiritual_communal,18,200,0.225715,0.0
spiritual_communal,19,200,0.234971,0.0
spiritual_communal,20,200,0.237051,0.0
spiritual_communal,21,200,0.242996,0.0
spiritual_communal,22,200,0.237129,0.0
spiritual_communal,23,200,0.232049,0.0
spiritual_communal,24,200,0.230678,0.0
spiritual_communal,25,200,0.233962,0.0
spiritual_communal,26,200,0.237947,0.0
spiritual_communal,27,200,0.236162,0.0
spiritual_communal,28,200,0.239036,0.0
spiritual_communal,29,200,0.243243,0.0
spiritual_communal,30,200,0.243399,0.0
spiritual_communal,31,200,0.236958,0.0
spiritual_communal,32,200,0.233088,0.0
spiritual_communal,33,200,0.225846,0.0
spiritual_communal,34,200,0.226267,0.0
spiritual_communal,35,200,0.232762,0.0
spiritual_communal,36,200,0.229271,0.0
spiritual_communal,37,200,0.219534,0.0
spiritual_communal,38,200,0.216849,0.0
spiritual_communal,39,200,0.204224,0.0
spiritual_communal,40,200,0.195733,0.0
spiritual_communal,41,200,0.192587,0.0
spiritual_communal,42,200,0.19284,0.0
spiritual_communal,43,200,0.185431,0.0
spiritual_communal,44,200,0.189158,0.0
spiritual_communal,45,200,0.19317,0.0
spiritual_communal,46,200,0.186953,0.0
spiritual_communal,47,200,0.18347,0.0
spiritual_communal,48,200,0.19454,0.0
spiritual_communal,49,200,0.200953,0.0
spiritual_communal,50,200,0.201454,0.0
spiritual_communal,51,200,0.196899,0.0
spiritual_communal,52,200,0.193516,0.0
spiritual_communal,53,200,0.200395,0.0
spiritual_communal,54,200,0.193121,0.0
spiritual_communal,55,200,0.19619,0.0
spiritual_communal,56,200,0.195666,0.0
spiritual_communal,57,200,0.194565,0.0
spiritual_communal,58,200,0.200208,0.0
spiritual_communal,59,200,0.192394,0.0
spiritual_communal,60,200,0.188635,0.0
spiritual_communal,61,200,0.189595,0.0
spiritual_communal,62,200,0.193495,0.0
spiritual_communal,63,200,0.188905,0.0
spiritual_communal,64,200,0.183764,0.0
spiritual_communal,65,200,0.191112,0.0
spiritual_communal,66,200,0.189113,0.0
spiritual_communal,67,200,0.182551,0.0
spiritual_communal,68,200,0.177267,0.0
spiritual_communal,69,200,0.177796,0.0
spiritual_communal,70,200,0.175336,0.0
spiritual_communal,71,200,0.155822,0.0
spiritual_communal,72,200,0.13884,0.0
spiritual_communal,73,200,0.142945,0.0
spiritual_communal,74,200,0.142566,0.0
spiritual_communal,75,200,0.139843,0.0
spiritual_communal,76,200,0.141043,0.0
spiritual_communal,77,200,0.145211,0.0
spiritual_communal,78,200,0.146666,0.0
spiritual_communal,79,200,0.150002,0.0
spiritual_communal,80,200,0.148759,0.0
spiritual_communal,81,200,0.145025,0.0
spiritual_communal,82,200,0.152034,0.0
spiritual_communal,83,200,0.157295,0.0
spiritual_communal,84,200,0.157746,0.0
spiritual_communal,85,200,0.159523,0.0
spiritual_communal,86,200,0.160955,0.0
spiritual_communal,87,200,0.160007,0.0
spiritual_communal,88,200,0.157979,0.0
spiritual_communal,89,200,0.157135,0.0
spiritual_communal,90,200,0.158461,0.0
spiritual_communal,91,200,0.157936,0.0
spiritual_communal,92,200,0.159652,0.0
spiritual_communal,93,200,0.159171,0.0
spiritual_communal,94,200,0.161086,0.0
spiritual_communal,95,200,0.160099,0.0
spiritual_communal,96,200,0.159285,0.0
spiritual_communal,97,200,0.160642,0.0
spiritual_communal,98,200,0.157492,0.0
