world,generation,population,genetic_diversity,avg_energy
language_only,0,200,0.291773,0.0
language_only,1,200,0.276291,0.0
language_only,2,200,0.285046,0.0
language_only,3,200,0.28356,0.0
language_only,4,200,0.287228,0.0
language_only,5,200,0.273905,0.0
language_only,6,200,0.285096,0.0
language_only,7,200,0.277333,0.0
language_only,8,200,0.268323,0.0
language_only,9,200,0.262388,0.0
language_only,10,200,0.253865,0.0
language_only,11,200,0.250898,0.0
language_only,12,200,0.239705,0.0
language_only,13,200,0.247562,0.0
language_only,14,200,0.254826,0.0
language_only,15,200,0.251687,0.0
language_only,16,200,0.254998,0.0
language_only,17,200,0.250415,0.0
language_only,18,200,0.249482,0.0
language_only,19,200,0.247778,0.0
language_only,20,200,0.246927,0.0
language_only,21,200,0.247288,0.0
language_only,22,200,0.241446,0.0
language_only,23,200,0.240599,0.0
language_only,24,200,0.241905,0.0
language_only,25,200,0.246922,0.0
language_only,26,200,0.246363,0.0
language_only,27,200,0.240927,0.0
language_only,28,200,0.228656,0.0
language_only,29,200,0.233555,0.0
language_only,30,200,0.224004,0.0
language_only,31,200,0.204852,0.0
language_only,32,200,0.208681,0.0
language_only,33,200,0.212961,0.0
language_only,34,200,0.213215,0.0
language_only,35,200,0.212454,0.0
language_only,36,200,0.204237,0.0
language_only,37,200,0.209376,0.0
language_only,38,200,0.186732,0.0
language_only,39,200,0.186875,0.0
language_only,40,200,0.187083,0.0
language_only,41,200,0.184393,0.0
language_only,42,200,0.176415,0.0
language_only,43,200,0.191327,0.0
language_only,44,200,0.185721,0.0
language_only,45,200,0.182284,0.0
language_only,46,200,0.190544,0.0
language_only,47,200,0.199222,0.0
language_only,48,200,0.195585,0.0
language_only,49,200,0.21231,0.0
language_only,50,200,0.227943,0.0
language_only,51,200,0.233246,0.0
language_only,52,200,0.22798,0.0
language_only,53,200,0.227262,0.0
language_only,54,200,0.220945,0.0
language_only,55,200,0.217064,0.0
language_only,56,200,0.221787,0.0
language_only,57,200,0.227273,0.0
language_only,58,200,0.231834,0.0
language_only,59,200,0.233032,0.0
language_only,60,200,0.23121,0.0
language_only,61,200,0.224236,0.0
language_only,62,200,0.221406,0.0
language_only,63,200,0.20924,0.0
language_only,64,200,0.207874,0.0
language_only,65,200,0.219712,0.0
language_only,66,200,0.22133,0.0
language_only,67,200,0.225673,0.0
language_only,68,200,0.2283,0.0
language_only,69,200,0.228631,0.0
language_only,70,200,0.219612,0.0
language_only,71,200,0.21601,0.0
language_only,72,200,0.218261,0.0
language_only,73,200,0.224494,0.0
language_only,74,200,0.232137,0.0
language_only,75,200,0.235043,0.0
language_only,76,200,0.232123,0.0
language_only,77,200,0.232514,0.0
language_only,78,200,0.22423,0.0
language_only,79,200,0.223798,0.0
language_only,80,200,0.228198,0.0
language_only,81,200,0.227456,0.0
language_only,82,200,0.217306,0.0
language_only,83,200,0.211437,0.0
language_only,84,200,0.218774,0.0
language_only,85,200,0.215389,0.0
language_only,86,200,0.229799,0.0
language_only,87,200,0.220383,0.0
language_only,88,200,0.208427,0.0
language_only,89,200,0.198023,0.0
language_only,90,200,0.203987,0.0
language_only,91,200,0.193831,0.0
language_only,92,200,0.195867,0.0
language_only,93,200,0.200574,0.0
language_only,94,200,0.194991,0.0
language_only,95,200,0.195771,0.0
language_only,96,200,0.190601,0.0
language_only,97,200,0.186048,0.0
language_only,98,200,0.177607,0.0
language_only,99,200,0.180323,0.0
language_only,100,200,0.178674,0.0
language_only,101,200,0.176873,0.0
language_only,102,200,0.185733,0.0
language_only,103,200,0.169927,0.0
language_only,104,200,0.164784,0.0
language_only,105,200,0.166295,0.0
language_only,106,200,0.158974,0.0
language_only,107,200,0.156758,0.0
language_only,108,200,0.155711,0.0
language_only,109,200,0.156741,0.0
language_only,110,200,0.158002,0.0
language_only,111,200,0.149889,0.0
language_only,112,200,0.146853,0.0
language_only,113,200,0.151043,0.0
language_only,114,200,0.15761,0.0
language_only,115,200,0.159489,0.0
language_only,116,200,0.159992,0.0
language_only,117,200,0.145223,0.0
language_only,118,200,0.137989,0.0
language_only,119,200,0.140666,0.0
language_only,120,200,0.141174,0.0
language_only,121,200,0.161748,0.0
language_only,122,200,0.1693,0.0
language_only,123,200,0.158397,0.0
language_only,124,200,0.164616,0.0
language_only,125,200,0.153192,0.0
language_only,126,200,0.142774,0.0
language_only,127,200,0.134522,0.0
language_only,128,200,0.147091,0.0
language_only,129,200,0.141739,0.0
language_only,130,200,0.134532,0.0
language_only,131,200,0.135537,0.0
language_only,132,200,0.125009,0.0
language_only,133,200,0.132172,0.0
language_only,134,200,0.126258,0.0
language_only,135,200,0.121122,0.0
language_only,136,200,0.116441,0.0
language_only,137,200,0.118899,0.0
language_only,138,200,0.116502,0.0
language_only,139,200,0.120902,0.0
language_only,140,200,0.109109,0.0
language_only,141,200,0.092024,0.0
language_only,142,200,0.089274,0.0
language_only,143,200,0.07864,0.0
language_only,144,200,0.0741,0.0
language_only,145,200,0.092133,0.0
language_only,146,200,0.092535,0.0
language_only,147,200,0.100591,0.0
language_only,148,200,0.099968,0.0
language_only,149,200,0.093265,0.0
language_only,150,200,0.097019,0.0
language_only,151,200,0.09879,0.0
language_only,152,200,0.100218,0.0
language_only,153,200,0.087937,0.0
language_only,154,200,0.096939,0.0
language_only,155,200,0.094338,0.0
language_only,156,200,0.096202,0.0
language_only,157,200,0.088492,0.0
language_only,158,200,0.096806,0.0
language_only,159,200,0.106112,0.0
language_only,160,200,0.103896,0.0
language_only,161,200,0.104088,0.0
language_only,162,200,0.090802,0.0
language_only,163,200,0.074895,0.0
language_only,164,200,0.073495,0.0
language_only,165,200,0.069975,0.0
language_only,166,200,0.087179,0.0
language_only,167,200,0.093901,0.0
language_only,168,200,0.098472,0.0
language_only,169,200,0.093311,0.0
language_only,170,200,0.090596,0.0
language_only,171,200,0.087907,0.0
language_only,172,200,0.077766,0.0
language_only,173,200,0.074969,0.0
language_only,174,200,0.077464,0.0
language_only,175,200,0.06902,0.0
language_only,176,200,0.066477,0.0
language_only,177,200,0.060627,0.0
language_only,178,200,0.062213,0.0
language_only,179,200,0.063071,0.0
language_only,180,200,0.049271,0.0
language_only,181,200,0.049254,0.0
language_only,182,200,0.048221,0.0
language_only,183,200,0.047514,0.0
language_only,184,200,0.048459,0.0
language_only,185,200,0.049245,0.0
language_only,186,200,0.048721,0.0
language_only,187,200,0.048058,0.0
language_only,188,200,0.049932,0.0
language_only,189,200,0.050142,0.0
language_only,190,200,0.051088,0.0
language_only,191,200,0.049,0.0
language_only,192,200,0.048845,0.0
language_only,193,200,0.048933,0.0
language_only,194,200,0.05034,0.0
language_only,195,200,0.051162,0.0
language_only,196,200,0.051415,0.0
language_only,197,200,0.052051,0.0
language_only,198,200,0.052118,0.0
language_only,199,200,0.048716,0.0
language_only,200,200,0.046638,0.0
