world,generation,population,genetic_diversity,avg_energy
baseline,0,600,0.435577,49.152
baseline,1,600,0.440057,50.765
baseline,2,600,0.429625,49.065
baseline,3,600,0.442672,49.453
baseline,4,600,0.454568,52.64
baseline,5,600,0.45888,51.66
baseline,6,600,0.449788,50.065
baseline,7,600,0.444554,48.328
baseline,8,600,0.424312,48.887
baseline,9,600,0.436564,47.982
baseline,10,600,0.435562,45.685
baseline,11,600,0.444939,45.257
baseline,12,600,0.441456,45.823
baseline,13,600,0.435741,43.05
baseline,14,600,0.439211,42.075
baseline,15,600,0.445139,40.51
baseline,16,600,0.446993,40.693
baseline,17,600,0.43695,39.413
baseline,18,600,0.435399,38.165
baseline,19,600,0.432019,38.338
baseline,20,600,0.429467,36.165
baseline,21,600,0.427044,35.205
baseline,22,600,0.420489,34.175
baseline,23,600,0.42779,33.477
baseline,24,600,0.424189,33.425
baseline,25,600,0.428149,31.817
baseline,26,600,0.41524,31.802
baseline,27,600,0.417556,31.933
baseline,28,600,0.421003,31.652
baseline,29,600,0.436962,31.175
baseline,30,600,0.431039,30.847
baseline,31,600,0.441447,31.262
baseline,32,600,0.440656,30.428
baseline,33,600,0.426521,31.638
baseline,34,600,0.427245,31.257
baseline,35,600,0.430397,31.185
baseline,36,600,0.429789,30.243
baseline,37,600,0.422465,30.723
baseline,38,600,0.431846,31.948
baseline,39,600,0.43134,30.823
baseline,40,600,0.435786,31.767
baseline,41,600,0.437252,30.678
baseline,42,600,0.433553,31.523
baseline,43,600,0.436551,29.827
baseline,44,600,0.428719,30.608
baseline,45,600,0.431655,31.842
baseline,46,600,0.441512,30.957
baseline,47,600,0.434933,31.392
baseline,48,600,0.42694,30.22
baseline,49,600,0.420871,31.983
baseline,50,600,0.425866,30.087
baseline,51,600,0.428116,30.397
baseline,52,600,0.417544,31.723
baseline,53,600,0.415735,31.152
baseline,54,600,0.412953,31.027
baseline,55,600,0.411432,30.452
baseline,56,600,0.401388,32.148
baseline,57,600,0.407198,30.168
baseline,58,600,0.404116,30.068
baseline,59,600,0.38441,31.8
baseline,60,600,0.382199,31.26
baseline,61,600,0.386928,30.77
baseline,62,600,0.38304,30.827
baseline,63,600,0.382732,32.055
baseline,64,600,0.38558,29.982
baseline,65,600,0.375458,30.348
baseline,66,600,0.38486,31.268
baseline,67,600,0.391882,31.05
baseline,68,600,0.393745,31.19
baseline,69,600,0.407953,31.195
baseline,70,600,0.413702,31.855
baseline,71,600,0.414398,29.753
baseline,72,600,0.410137,30.513
baseline,73,600,0.404255,31.672
baseline,74,600,0.403861,30.87
baseline,75,600,0.409866,31.422
baseline,76,600,0.411686,30.763
baseline,77,600,0.406196,31.975
baseline,78,600,0.402459,29.798
baseline,79,600,0.389759,30.762
baseline,80,600,0.384085,31.755
baseline,81,600,0.388595,30.688
baseline,82,600,0.38853,31.648
baseline,83,600,0.389898,30.845
baseline,84,600,0.391421,31.747
baseline,85,600,0.397676,29.648
baseline,86,600,0.402005,30.307
baseline,87,600,0.40347,32.15
baseline,88,600,0.410702,30.65
baseline,89,600,0.404348,31.24
baseline,90,600,0.410399,31.35
baseline,91,600,0.408232,31.522
baseline,92,600,0.409761,29.573
baseline,93,600,0.40433,30.203
baseline,94,600,0.402582,32.343
baseline,95,600,0.401233,30.59
baseline,96,600,0.410948,30.933
baseline,97,600,0.41578,32.13
baseline,98,600,0.418597,31.653
baseline,99,600,0.410957,29.592
baseline,100,600,0.417305,29.892
baseline,101,600,0.420233,32.552
baseline,102,600,0.417911,30.715
baseline,103,600,0.424243,30.988
baseline,104,600,0.42207,31.373
baseline,105,600,0.420977,31.613
baseline,106,600,0.411392,29.62
baseline,107,600,0.404476,30.11
baseline,108,600,0.400093,32.312
baseline,109,600,0.400636,30.513
baseline,110,600,0.382743,31.183
baseline,111,600,0.376924,31.53
baseline,112,600,0.357462,31.472
baseline,113,600,0.353259,29.485
baseline,114,600,0.356586,30.418
baseline,115,600,0.358846,32.517
baseline,116,600,0.38075,30.492
baseline,117,600,0.393344,31.24
baseline,118,600,0.37983,31.48
baseline,119,600,0.388682,31.54
baseline,120,600,0.372617,29.387
