world,generation,population,genetic_diversity,avg_energy
spiritual_communal,0,600,0.42726,52.012
spiritual_communal,1,600,0.413877,52.232
spiritual_communal,2,600,0.424625,51.877
spiritual_communal,3,600,0.423956,52.252
spiritual_communal,4,600,0.423228,52.677
spiritual_communal,5,600,0.408108,53.727
spiritual_communal,6,600,0.403051,52.353
spiritual_communal,7,600,0.403199,50.797
spiritual_communal,8,600,0.395919,50.775
spiritual_communal,9,600,0.405614,49.807
spiritual_communal,10,600,0.390199,48.415
spiritual_communal,11,600,0.397049,48.372
spiritual_communal,12,600,0.402228,49.198
spiritual_communal,13,600,0.398347,48.713
spiritual_communal,14,600,0.400269,48.677
spiritual_communal,15,600,0.410847,49.667
spiritual_communal,16,600,0.409983,49.427
spiritual_communal,17,600,0.413477,48.832
spiritual_communal,18,600,0.410979,49.032
spiritual_communal,19,600,0.408823,48.082
spiritual_communal,20,600,0.414683,48.24
spiritual_communal,21,600,0.411911,48.55
spiritual_communal,22,600,0.415675,48.215
spiritual_communal,23,600,0.415988,48.21
spiritual_communal,24,600,0.410077,48.393
spiritual_communal,25,600,0.405335,47.635
spiritual_communal,26,600,0.396049,48.03
spiritual_communal,27,600,0.388253,48.658
spiritual_communal,28,600,0.385712,48.265
spiritual_communal,29,600,0.376988,48.745
spiritual_communal,30,600,0.382507,49.18
spiritual_communal,31,600,0.390159,48.43
spiritual_communal,32,600,0.393016,49.103
spiritual_communal,33,600,0.386837,49.357
spiritual_communal,34,600,0.376883,48.57
spiritual_communal,35,600,0.373554,49.137
spiritual_communal,36,600,0.376066,49.295
spiritual_communal,37,600,0.378704,48.582
spiritual_communal,38,600,0.380206,49.223
spiritual_communal,39,600,0.368347,49.277
spiritual_communal,40,600,0.379072,48.572
spiritual_communal,41,600,0.382447,49.198
spiritual_communal,42,600,0.384835,49.303
spiritual_communal,43,600,0.396309,48.61
spiritual_communal,44,600,0.396949,49.172
spiritual_communal,45,600,0.415216,49.273
spiritual_communal,46,600,0.42057,48.627
spiritual_communal,47,600,0.417686,49.183
spiritual_communal,48,600,0.442256,49.225
spiritual_communal,49,600,0.441703,48.583
spiritual_communal,50,600,0.441745,49.227
spiritual_communal,51,600,0.432918,49.218
spiritual_communal,52,600,0.427622,48.472
spiritual_communal,53,600,0.424117,49.203
spiritual_communal,54,600,0.402813,49.267
spiritual_communal,55,600,0.396429,48.557
spiritual_communal,56,600,0.390079,49.247
spiritual_communal,57,600,0.385961,49.328
spiritual_communal,58,600,0.399138,48.447
spiritual_communal,59,600,0.396987,49.227
spiritual_communal,60,600,0.396634,49.283
spiritual_communal,61,600,0.411521,48.528
spiritual_communal,62,600,0.409581,49.282
spiritual_communal,63,600,0.40633,49.273
spiritual_communal,64,600,0.393347,48.445
spiritual_communal,65,600,0.388672,49.167
spiritual_communal,66,600,0.386362,49.388
spiritual_communal,67,600,0.395888,48.408
spiritual_communal,68,600,0.394765,49.162
spiritual_communal,69,600,0.400642,49.458
spiritual_communal,70,600,0.402329,48.393
spiritual_communal,71,600,0.393318,49.125
spiritual_communal,72,600,0.389131,49.353
spiritual_communal,73,600,0.391261,48.557
spiritual_communal,74,600,0.386124,49.082
spiritual_communal,75,600,0.384024,49.333
spiritual_communal,76,600,0.38576,48.562
spiritual_communal,77,600,0.382584,49.2
spiritual_communal,78,600,0.389355,49.385
spiritual_communal,79,600,0.379338,48.428
spiritual_communal,80,600,0.383147,49.215
spiritual_communal,81,600,0.374152,49.36
spiritual_communal,82,600,0.367497,48.392
spiritual_communal,83,600,0.365389,49.128
spiritual_communal,84,600,0.359891,49.495
spiritual_communal,85,600,0.366449,48.377
spiritual_communal,86,600,0.361218,49.165
spiritual_communal,87,600,0.369362,49.478
spiritual_communal,88,600,0.375582,48.37
spiritual_communal,89,600,0.383065,49.087
spiritual_communal,90,600,0.371137,49.533
spiritual_communal,91,600,0.374055,48.355
spiritual_communal,92,600,0.384031,49.067
spiritual_communal,93,600,0.397903,49.57
spiritual_communal,94,600,0.410002,48.408
spiritual_communal,95,600,0.413944,49.068
spiritual_communal,96,600,0.41407,49.585
spiritual_communal,97,600,0.397939,48.46
spiritual_communal,98,600,0.398561,48.922
spiritual_communal,99,600,0.395431,49.697
spiritual_communal,100,600,0.398281,48.52
spiritual_communal,101,600,0.400941,48.788
spiritual_communal,102,600,0.411142,49.72
spiritual_communal,103,600,0.410914,48.458
spiritual_communal,104,600,0.40766,48.758
spiritual_communal,105,600,0.408316,49.743
spiritual_communal,106,600,0.404702,48.473
spiritual_communal,107,600,0.40413,48.788
spiritual_communal,108,600,0.409146,49.763
spiritual_communal,109,600,0.409815,48.368
spiritual_communal,110,600,0.417502,48.845
spiritual_communal,111,600,0.417739,49.83
spiritual_communal,112,600,0.419083,48.367
spiritual_communal,113,600,0.415794,48.845
spiritual_communal,114,600,0.419178,49.743
spiritual_communal,115,600,0.423108,48.417
spiritual_communal,116,600,0.421721,48.858
spiritual_communal,117,600,0.434207,49.708
spiritual_communal,118,600,0.44363,48.498
spiritual_communal,119,600,0.444796,48.83
spiritual_communal,120,600,0.447547,49.693
